Dte,Barris,Total,AiguaCorrentDAbastamentPublic,AiguaCorrentDAbastamentPrivatOParticularDeLEdifici,SenseAiguaCorrent,AmbLavaboAmbVater,SenseLavaboAmbVater,AmbBanyeraODutxa,SenseBanyeraODutxa
BARCELONA,,684.078,644.769,37.629,1.681,680.849,3.229,679.945,4.133
1,"1. el Raval",17.752,15.765,1.763,223,17.582,..,17.449,302
1,"2. el Barri Gòtic",8.209,7.542,582,..,8.138,..,8.154,..
1,"3. la Barceloneta",8.164,6.939,1.114,..,7.934,..,7.837,327
1,"4. Sant Pere, Santa Caterina i la Ribera",10.380,9.264,957,159,10.292,..,10.209,171
2,"5. el Fort Pienc",13.166,12.484,672,..,13.035,..,13.108,..
2,"6. la Sagrada Família",23.509,22.128,1.371,..,23.466,..,23.357,152
2,"7. la Dreta de l'Eixample",18.660,17.591,1.069,..,18.579,..,18.608,..
2,"8. l'Antiga Esquerra de l'Eixample",17.932,16.880,972,..,17.808,..,17.879,..
2,"9. la Nova Esquerra de l'Eixample",27.115,25.601,1.514,..,26.922,193,27.040,..
2,"10. Sant Antoni",17.554,16.512,993,..,17.514,..,17.492,..
3,"11. el Poble Sec - AEI Parc Montjuïc",16.516,15.296,1.078,142,16.265,251,16.304,212
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",309,274,..,..,300,..,309,..
3,"13. la Marina de Port",11.998,11.412,585,..,11.938,..,11.947,..
3,"14. la Font de la Guatlla",4.532,4.296,236,..,4.482,..,4.483,..
3,"15. Hostafrancs",6.820,6.611,156,..,6.805,..,6.735,..
3,"16. la Bordeta",8.220,7.798,413,..,8.200,..,8.189,..
3,"17. Sants - Badal",10.195,9.753,419,..,10.161,..,10.161,..
3,"18. Sants",19.229,18.087,1.025,..,19.169,..,19.131,..
4,"19. les Corts",19.488,18.452,1.018,..,19.446,..,19.402,..
4,"20. la Maternitat i Sant Ramon",9.720,9.228,492,..,9.698,..,9.708,..
4,"21. Pedralbes",4.007,3.831,176,..,4.007,..,4.007,..
5,"22. Vallvidrera, el Tibidabo i les Planes",1.026,962,..,..,1.026,..,1.018,..
5,"23. Sarrià",9.428,9.085,343,..,9.402,..,9.405,..
5,"24. les Tres Torres",5.687,5.401,286,..,5.672,..,5.672,..
5,"25. Sant Gervasi - la Bonanova",9.715,9.314,401,..,9.715,..,9.686,..
5,"26. Sant Gervasi - Galvany",18.387,17.474,902,..,18.282,..,18.274,112
5,"27. el Putxet i el Farró",12.765,12.251,514,..,12.752,..,12.711,..
6,"28. Vallcarca i els Penitents",7.349,6.895,454,..,7.316,..,7.337,..
6,"29. el Coll",3.387,3.152,226,..,3.351,..,3.377,..
6,"30. la Salut",5.274,4.999,274,..,5.265,..,5.235,..
6,"31. la Vila de Gràcia",23.468,21.643,1.646,179,23.384,..,23.217,251
6,"32. el Camp d'en Grassot i Gràcia Nova",15.538,14.815,703,..,15.522,..,15.433,..
7,"33. el Baix Guinardó",11.792,11.239,542,..,11.747,..,11.763,..
7,"34. Can Baró",3.832,3.652,181,..,3.813,..,3.813,..
7,"35. el Guinardó",16.007,15.325,682,..,15.934,..,15.904,..
7,"36. la Font d'en Fargues",3.849,3.693,157,..,3.849,..,3.849,..
7,"37. el Carmel",12.620,11.871,749,..,12.561,..,12.572,..
7,"38. la Teixonera",4.989,4.605,384,..,4.949,..,4.969,..
7,"39. Sant Genís dels Agudells",2.816,2.667,149,..,2.806,..,2.816,..
7,"40. Montbau",2.128,2.054,..,..,2.128,..,2.128,..
7,"41. la Vall d'Hebron",2.167,2.045,123,..,2.167,..,2.167,..
7,"42. la Clota",197,..,..,..,197,..,197,..
7,"43. Horta",11.154,10.619,525,..,11.036,..,11.103,..
8,"44. Vilapicina i la Torre Llobeta",11.095,10.679,417,..,11.077,..,11.087,..
8,"45. Porta",11.072,10.532,530,..,11.051,..,10.961,..
8,"46. el Turó de la Peira",6.321,6.094,227,..,6.285,..,6.288,..
8,"47. Can Peguera",987,934,..,..,987,..,976,..
8,"48. la Guineueta",6.898,6.671,226,..,6.898,..,6.841,..
8,"49. Canyelles",2.619,2.487,132,..,2.619,..,2.619,..
8,"50. les Roquetes",5.312,4.972,328,..,5.217,..,5.305,..
8,"51. Verdun",5.780,5.489,292,..,5.767,..,5.746,..
8,"52. la Prosperitat",11.005,10.434,571,..,10.986,..,10.984,..
8,"53. la Trinitat Nova",2.522,2.396,..,..,2.508,..,2.503,..
8,"54. Torre Baró",517,444,..,..,507,..,517,..
8,"55. Ciutat Meridiana",3.730,3.601,..,..,3.730,..,3.693,..
8,"56. Vallbona",428,401,..,..,428,..,414,..
9,"57. la Trinitat Vella",3.092,2.802,290,..,3.060,..,3.073,..
9,"58. Baró de Viver",890,812,..,..,890,..,890,..
9,"59. el Bon Pastor",4.336,3.962,374,..,4.336,..,4.326,..
9,"60. Sant Andreu",24.576,23.330,1.237,..,24.528,..,24.434,..
9,"61. la Sagrera",12.167,11.470,687,..,12.049,..,12.147,..
9,"62. el Congrés i els Indians",5.963,5.607,355,..,5.953,..,5.934,..
9,"63. Navas",10.659,10.217,425,..,10.624,..,10.578,..
10,"64. el Camp de l'Arpa del Clot",16.993,16.088,864,..,16.876,116,16.941,..
10,"65. el Clot",11.700,11.050,630,..,11.677,..,11.615,..
10,"66. el Parc i la Llacuna del Poblenou",6.202,5.842,341,..,6.188,..,6.192,..
10,"67. la Vila Olímpica del Poblenou",3.746,3.496,250,..,3.746,..,3.746,..
10,"68. el Poblenou",13.723,12.758,914,..,13.662,..,13.585,138
10,"69. Diagonal Mar i el Front Marítim del Poblenou",5.734,5.371,363,..,5.734,..,5.719,..
10,"70. el Besòs i el Maresme",7.611,7.261,342,..,7.550,..,7.529,..
10,"71. Provençals del Poblenou",8.343,7.990,344,..,8.318,..,8.209,..
10,"72. Sant Martí de Provençals",11.322,10.936,385,..,11.300,..,11.283,..
10,"73. la Verneda i la Pau",11.683,11.007,651,..,11.683,..,11.654,..
