Dte,Barris,Total,UnaPlanta,DuesPlantes,TresPlantes,QuatrePlantes,CincPlantes,SisPlantes,SetPlantes,VuitPlantes,NouPlantes,DeuPlantesIMes
BARCELONA,,70.717,7.375,11.236,7.200,6.926,9.632,9.293,7.126,4.683,3.356,3.890
1,"1. el Raval",1.851,29,42,51,232,570,541,297,57,21,11
1,"2. el Barri Gòtic",1.106,12,29,30,88,284,400,201,50,10,..
1,"3. la Barceloneta",1.160,208,71,97,148,195,294,109,29,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",1.492,21,31,31,119,433,539,242,44,10,22
2,"5. el Fort Pienc",611,..,..,..,17,32,108,106,99,107,122
2,"6. la Sagrada Família",1.533,142,95,82,70,114,213,244,240,196,137
2,"7. la Dreta de l'Eixample",1.896,24,21,24,43,128,462,528,312,206,148
2,"8. l'Antiga Esquerra de l'Eixample",1.518,10,29,40,30,60,271,419,293,169,197
2,"9. la Nova Esquerra de l'Eixample",1.283,10,24,26,16,49,182,274,249,215,238
2,"10. Sant Antoni",1.135,18,14,..,16,66,179,297,201,153,184
3,"11. el Poble Sec - AEI Parc Montjuïc",1.583,88,112,108,132,233,308,306,205,54,37
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",110,40,32,10,..,..,10,..,..,..,..
3,"13. la Marina de Port",514,41,45,21,79,59,48,64,32,33,92
3,"14. la Font de la Guatlla",348,20,94,21,25,40,40,41,33,..,31
3,"15. Hostafrancs",727,..,56,117,99,153,114,90,36,26,27
3,"16. la Bordeta",493,20,87,78,67,65,60,41,31,21,23
3,"17. Sants - Badal",944,94,124,117,109,139,129,84,63,40,45
3,"18. Sants",2.287,140,424,362,373,327,261,171,72,79,78
4,"19. les Corts",1.256,126,127,83,90,113,108,126,160,141,182
4,"20. la Maternitat i Sant Ramon",598,59,92,52,49,50,35,30,54,42,135
4,"21. Pedralbes",622,..,186,149,33,26,36,30,20,38,95
5,"22. Vallvidrera, el Tibidabo i les Planes",1.105,236,436,323,79,28,..,..,..,..,..
5,"23. Sarrià",2.034,227,782,339,184,211,115,114,32,..,22
5,"24. les Tres Torres",631,12,73,49,65,92,166,119,22,12,21
5,"25. Sant Gervasi - la Bonanova",1.310,61,321,235,99,141,163,149,96,20,25
5,"26. Sant Gervasi - Galvany",1.836,45,113,103,115,190,272,357,337,175,129
5,"27. el Putxet i el Farró",1.490,95,214,227,207,215,197,133,103,69,30
6,"28. Vallcarca i els Penitents",1.285,209,445,233,136,118,36,41,26,30,11
6,"29. el Coll",574,118,160,86,74,86,31,10,..,..,..
6,"30. la Salut",545,67,85,84,87,81,41,22,15,35,28
6,"31. la Vila de Gràcia",3.934,384,584,620,660,630,528,297,138,67,26
6,"32. el Camp d'en Grassot i Gràcia Nova",1.181,32,77,120,105,119,197,179,149,118,85
7,"33. el Baix Guinardó",740,95,50,45,56,81,103,65,96,90,59
7,"34. Can Baró",674,136,153,104,82,84,58,18,..,..,26
7,"35. el Guinardó",2.064,141,408,266,246,387,254,238,88,24,12
7,"36. la Font d'en Fargues",1.019,284,370,140,126,64,22,..,..,..,..
7,"37. el Carmel",1.791,335,293,182,207,453,242,45,23,11,..
7,"38. la Teixonera",759,129,130,115,104,151,80,22,15,..,..
7,"39. Sant Genís dels Agudells",333,55,118,39,37,23,15,13,..,..,22
7,"40. Montbau",274,94,..,30,25,73,24,..,..,..,15
7,"41. la Vall d'Hebron",93,..,..,..,..,11,..,..,..,27,36
7,"42. la Clota",140,53,73,10,..,..,..,..,..,..,..
7,"43. Horta",2.106,378,655,244,332,291,100,70,30,..,..
8,"44. Vilapicina i la Torre Llobeta",1.086,117,185,92,124,228,114,107,70,26,23
8,"45. Porta",817,44,72,58,69,157,202,92,81,22,20
8,"46. el Turó de la Peira",363,11,20,24,24,16,78,64,67,20,39
8,"47. Can Peguera",674,629,17,..,..,..,..,10,..,..,..
8,"48. la Guineueta",293,..,..,..,125,18,11,12,..,59,59
8,"49. Canyelles",79,..,..,..,..,..,..,..,13,..,52
8,"50. les Roquetes",926,159,112,111,221,237,73,..,..,..,..
8,"51. Verdun",601,25,54,55,121,190,109,24,18,..,..
8,"52. la Prosperitat",1.159,58,108,146,110,308,234,97,64,17,17
8,"53. la Trinitat Nova",214,..,..,..,90,49,29,20,16,..,..
8,"54. Torre Baró",488,267,152,56,11,..,..,..,..,..,..
8,"55. Ciutat Meridiana",253,..,..,..,..,..,70,152,..,20,..
8,"56. Vallbona",159,87,37,13,12,..,..,..,..,..,..
9,"57. la Trinitat Vella",619,73,90,97,92,175,80,..,..,..,..
9,"58. Baró de Viver",66,..,..,..,18,..,19,17,..,..,..
9,"59. el Bon Pastor",1.091,707,61,41,49,118,51,41,14,..,..
9,"60. Sant Andreu",3.242,156,1.277,574,190,315,147,142,180,125,136
9,"61. la Sagrera",705,38,101,86,43,69,63,32,60,76,137
9,"62. el Congrés i els Indians",695,67,58,64,129,232,64,44,29,..,..
9,"63. Navas",699,14,169,78,40,36,44,51,97,60,110
10,"64. el Camp de l'Arpa del Clot",1.854,205,306,218,200,245,167,110,133,142,128
10,"65. el Clot",801,40,113,64,77,118,106,74,32,68,109
10,"66. el Parc i la Llacuna del Poblenou",350,14,25,19,31,32,58,48,17,56,50
10,"67. la Vila Olímpica del Poblenou",446,..,121,36,17,68,82,103,..,..,..
10,"68. el Poblenou",1.497,125,264,181,219,219,225,124,53,63,24
10,"69. Diagonal Mar i el Front Marítim del Poblenou",286,..,58,11,..,10,51,47,42,..,56
10,"70. el Besòs i el Maresme",918,141,442,10,11,..,150,..,45,40,70
10,"71. Provençals del Poblenou",449,61,83,39,11,19,41,22,33,27,113
10,"72. Sant Martí de Provençals",472,18,..,..,..,18,22,62,88,86,167
10,"73. la Verneda i la Pau",430,..,..,..,..,62,..,..,29,148,183
