Dte,Barris,Total,Cap,UnaPlaca,DuesPlaces,DeTresACincPlaces,DeSisADeuPlaces,DOnzeAVintPlaces,DeVintIUACinquantaPlaces,MesDeCinquantaPlaces
BARCELONA,,69.830,58.782,3.004,821,671,1.072,1.941,2.023,1.516
1,"1. el Raval",1.823,1.823,1.783,..,..,..,..,15,16
1,"2. el Barri Gòtic",1.029,1.029,1.029,..,..,..,..,..,..
1,"3. la Barceloneta",1.152,1.152,1.149,..,..,..,..,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",1.458,1.458,1.440,..,..,..,..,..,..
2,"5. el Fort Pienc",608,608,456,..,..,..,..,16,65
2,"6. la Sagrada Família",1.493,1.493,1.324,12,..,..,..,29,36
2,"7. la Dreta de l'Eixample",1.832,1.832,1.732,..,..,..,12,29,39
2,"8. l'Antiga Esquerra de l'Eixample",1.485,1.485,1.379,..,..,..,..,23,47
2,"9. la Nova Esquerra de l'Eixample",1.252,1.252,1.078,..,..,..,..,32,68
2,"10. Sant Antoni",1.110,1.110,1.030,..,..,..,..,18,28
3,"11. el Poble Sec - AEI Parc Montjuïc",1.573,1.573,1.439,14,..,..,23,36,47
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",105,105,102,..,..,..,..,..,..
3,"13. la Marina de Port",513,513,423,..,..,..,..,..,27
3,"14. la Font de la Guatlla",348,348,253,22,..,..,..,..,23
3,"15. Hostafrancs",723,723,617,..,..,..,..,12,32
3,"16. la Bordeta",485,485,408,..,..,..,..,14,33
3,"17. Sants - Badal",926,926,802,..,..,..,..,34,43
3,"18. Sants",2.243,2.243,1.979,37,27,13,19,39,62
4,"19. les Corts",1.245,1.245,942,27,..,..,20,63,84
4,"20. la Maternitat i Sant Ramon",592,592,437,30,..,10,..,26,33
4,"21. Pedralbes",619,619,220,177,41,19,10,46,78
5,"22. Vallvidrera, el Tibidabo i les Planes",1.101,1.101,551,415,115,12,..,..,..
5,"23. Sarrià",2.020,2.020,1.628,209,33,22,32,47,25
5,"24. les Tres Torres",627,627,397,31,12,20,42,72,42
5,"25. Sant Gervasi - la Bonanova",1.298,1.298,848,288,13,19,38,46,34
5,"26. Sant Gervasi - Galvany",1.748,1.748,1.407,19,..,26,55,125,78
5,"27. el Putxet i el Farró",1.458,1.458,1.156,99,29,21,48,43,51
6,"28. Vallcarca i els Penitents",1.271,1.271,774,194,89,90,34,36,34
6,"29. el Coll",571,571,460,27,14,..,15,29,18
6,"30. la Salut",543,543,431,31,..,13,17,18,19
6,"31. la Vila de Gràcia",3.860,3.860,3.662,49,33,14,17,24,37
6,"32. el Camp d'en Grassot i Gràcia Nova",1.168,1.168,977,13,..,13,26,43,69
7,"33. el Baix Guinardó",736,736,659,12,..,..,..,13,23
7,"34. Can Baró",672,672,548,37,21,18,20,21,..
7,"35. el Guinardó",2.056,2.056,1.715,75,42,35,72,76,37
7,"36. la Font d'en Fargues",1.014,1.014,597,177,52,38,73,60,14
7,"37. el Carmel",1.787,1.787,1.638,39,16,22,25,25,18
7,"38. la Teixonera",758,758,632,34,..,18,13,30,20
7,"39. Sant Genís dels Agudells",333,333,254,56,..,..,..,..,..
7,"40. Montbau",269,269,267,..,..,..,..,..,..
7,"41. la Vall d'Hebron",90,90,79,..,..,..,..,..,..
7,"42. la Clota",139,139,120,19,..,..,..,..,..
7,"43. Horta",2.097,2.097,1.718,201,22,31,40,52,26
8,"44. Vilapicina i la Torre Llobeta",1.083,1.083,955,14,..,..,25,47,21
8,"45. Porta",814,814,722,13,..,..,10,35,11
8,"46. el Turó de la Peira",360,360,333,..,..,..,..,12,..
8,"47. Can Peguera",665,665,665,..,..,..,..,..,..
8,"48. la Guineueta",292,292,285,..,..,..,..,..,..
8,"49. Canyelles",79,79,76,..,..,..,..,..,..
8,"50. les Roquetes",926,926,870,28,..,..,..,11,..
8,"51. Verdun",599,599,576,..,..,..,..,..,..
8,"52. la Prosperitat",1.158,1.158,1.032,35,15,14,15,22,25
8,"53. la Trinitat Nova",214,214,191,..,..,..,..,14,..
8,"54. Torre Baró",488,488,431,32,16,..,..,..,..
8,"55. Ciutat Meridiana",253,253,241,..,..,..,..,..,11
8,"56. Vallbona",159,159,131,18,..,..,..,..,..
9,"57. la Trinitat Vella",619,619,505,12,18,18,35,25,..
9,"58. Baró de Viver",66,66,58,..,..,..,..,..,..
9,"59. el Bon Pastor",1.079,1.079,1.003,11,..,..,..,16,..
9,"60. Sant Andreu",3.237,3.237,2.542,216,56,36,80,103,120
9,"61. la Sagrera",702,702,608,12,..,..,10,18,24
9,"62. el Congrés i els Indians",695,695,592,15,..,13,20,39,10
9,"63. Navas",670,670,509,..,..,..,..,59,41
10,"64. el Camp de l'Arpa del Clot",1.831,1.831,1.658,55,..,..,14,36,44
10,"65. el Clot",800,800,659,16,..,..,11,25,47
10,"66. el Parc i la Llacuna del Poblenou",343,343,265,..,..,..,..,..,42
10,"67. la Vila Olímpica del Poblenou",445,445,119,70,..,..,39,77,36
10,"68. el Poblenou",1.484,1.484,1.187,32,..,..,33,89,77
10,"69. Diagonal Mar i el Front Marítim del Poblenou",286,286,78,19,23,..,14,44,20
10,"70. el Besòs i el Maresme",908,908,867,..,..,..,..,10,13
10,"71. Provençals del Poblenou",446,446,329,10,..,..,..,10,59
10,"72. Sant Martí de Provençals",470,470,395,..,..,..,..,11,21
10,"73. la Verneda i la Pau",429,429,360,..,..,..,..,..,31
