Dte,Barris,Total,Cap,UnaPlanta,DuesPlantes,TresPlantesOMes
BARCELONA,,849.705,779.508,46.572,15.131,8.494
1,"1. el Raval",22.653,22.126,419,94,14
1,"2. el Barri Gòtic",10.387,10.339,48,..,..
1,"3. la Barceloneta",9.202,9.202,..,..,..
1,"4. Sant Pere, Santa Caterina i la Ribera",15.259,14.794,246,28,191
2,"5. el Fort Pienc",16.370,15.981,369,20,..
2,"6. la Sagrada Família",29.540,27.433,404,234,1.469
2,"7. la Dreta de l'Eixample",30.979,27.953,1.855,414,757
2,"8. l'Antiga Esquerra de l'Eixample",27.883,26.317,589,236,741
2,"9. la Nova Esquerra de l'Eixample",32.802,30.948,1.680,108,66
2,"10. Sant Antoni",22.517,21.964,508,20,25
3,"11. el Poble Sec - AEI Parc Montjuïc",20.816,20.155,520,83,58
3,"12. la Marina del Prat Vermelll - AEI Zona Franca",565,565,..,..,..
3,"13. la Marina de Port",13.547,11.546,1.464,477,60
3,"14. la Font de la Guatlla",5.166,5.073,93,..,..
3,"15. Hostafrancs",8.734,8.702,32,..,..
3,"16. la Bordeta",9.113,8.922,191,..,..
3,"17. Sants - Badal",12.661,11.877,227,319,238
3,"18. Sants",23.177,21.871,631,536,139
4,"19. les Corts",24.655,16.140,3.882,2.831,1.802
4,"20. la Maternitat i Sant Ramon",12.091,9.429,1.502,960,200
4,"21. Pedralbes",5.362,1.752,1.809,1.375,426
5,"22. Vallvidrera, el Tibidabo i les Planes",1.529,1.174,277,78,..
5,"23. Sarrià",12.125,11.378,650,40,57
5,"24. les Tres Torres",6.980,6.605,289,75,11
5,"25. Sant Gervasi - la Bonanova",12.904,12.263,572,55,14
5,"26. Sant Gervasi - Galvany",27.047,23.216,2.922,536,373
5,"27. el Putxet i el Farró",16.829,15.899,791,80,59
6,"28. Vallcarca i els Penitents",8.207,7.422,631,126,28
6,"29. el Coll",3.785,2.826,742,149,68
6,"30. la Salut",6.359,6.040,201,118,..
6,"31. la Vila de Gràcia",34.050,33.654,295,74,27
6,"32. el Camp d'en Grassot i Gràcia Nova",18.908,18.544,342,22,..
7,"33. el Baix Guinardó",13.180,12.477,588,115,..
7,"34. Can Baró",4.890,4.268,521,54,47
7,"35. el Guinardó",19.666,16.944,1.735,755,232
7,"36. la Font d'en Fargues",4.477,3.447,815,119,96
7,"37. el Carmel",15.543,12.842,1.403,861,437
7,"38. la Teixonera",5.798,4.513,575,332,378
7,"39. Sant Genís dels Agudells",3.369,1.914,886,380,189
7,"40. Montbau",2.486,2.177,309,..,..
7,"41. la Vall d'Hebron",2.467,2.304,163,..,..
7,"42. la Clota",229,226,..,..,..
7,"43. Horta",12.881,11.874,827,168,12
8,"44. Vilapicina i la Torre Llobeta",13.082,12.291,416,375,..
8,"45. Porta",12.070,10.841,937,286,..
8,"46. el Turó de la Peira",7.369,5.690,1.115,453,111
8,"47. Can Peguera",1.139,1.137,..,..,..
8,"48. la Guineueta",7.019,6.497,522,..,..
8,"49. Canyelles",3.076,3.023,53,..,..
8,"50. les Roquetes",6.973,6.458,443,37,35
8,"51. Verdun",6.261,6.070,191,..,..
8,"52. la Prosperitat",12.909,12.073,790,46,..
8,"53. la Trinitat Nova",3.133,2.621,512,..,..
8,"54. Torre Baró",839,826,10,..,..
8,"55. Ciutat Meridiana",4.038,1.909,2.129,..,..
8,"56. Vallbona",541,522,13,..,..
9,"57. la Trinitat Vella",4.028,3.758,133,137,..
9,"58. Baró de Viver",1.124,1.103,21,..,..
9,"59. el Bon Pastor",5.446,5.327,113,..,..
9,"60. Sant Andreu",27.684,26.812,798,55,19
9,"61. la Sagrera",14.051,13.768,119,164,..
9,"62. el Congrés i els Indians",7.030,7.009,..,..,13
9,"63. Navas",10.967,7.480,2.037,1.391,59
10,"64. el Camp de l'Arpa del Clot",20.859,20.383,406,70,..
10,"65. el Clot",13.193,12.614,493,65,21
10,"66. el Parc i la Llacuna del Poblenou",7.158,7.048,110,..,..
10,"67. la Vila Olímpica del Poblenou",4.415,4.347,67,..,..
10,"68. el Poblenou",16.790,16.515,143,128,..
10,"69. Diagonal Mar i el Front Marítim del Poblenou",6.414,6.403,11,..,..
10,"70. el Besòs i el Maresme",9.590,9.066,524,..,..
10,"71. Provençals del Poblenou",9.366,8.509,857,..,..
10,"72. Sant Martí de Provençals",12.551,11.421,1.089,41,..
10,"73. la Verneda i la Pau",13.402,12.891,511,..,..
