bathrooms,constructed_year,description,elevator,energetic_qualification_kWhm2_year,floor,heater_system,its_new,m2_build,neigh_m2_useful,neighbourhood,garden,price_down_euro,price_down_percentage,price_euro,price_m2,real_estate,ref,rooms,status,terrace,title,link,avg_neigh_euro_m2,neigh_quality,neigh_type,neigh_floors,neigh_rent,neigh_rooms
1,1965,Te imaginas unas viviendas diseñados para disfrutar viviendo con todos los servicios con energía eficiente con mucha luz pisos espaciosos y muy tranquilos sin salir de casa? Lo estamos haciendo para ti y dotados de piscina y espacioso solárium. Todo lo que necesitas!  Estamos haciendo unas viviendas donde podrás vivir y respirar tranquilidad y donde compartir con la familia y amigos en su amplio salón y sus terrazas individuales. Pisos totalmente exteriores: los dormitorios el salón y la cocina dan a la terraza. Dotado para disfrutar de zona comunitaria y piscina.  El edificio eco eficiente y accesible cuenta con una cubierta comunitaria con piscina y vistas espectaculares una entrada desde la misma plaza Guinardó. para persona y coches 3 plantas bajas dúplex (dos con patio) 8 viviendas distribuidas en cuatro plantas de altura ...,1,0,0,null,1,105,75,El Guinardó,0,435000,9,395000,3762,PROVALIX GUINARDO .S.L.,Ref.: Bajos 1º,0,1,0,Dúplex en venta en plaza Guinardó 10,http://idealista.com/inmueble/90709777/,2908,0.07819539194233494,15,6,0.28864718754022395,5
2,1965,Te imaginas unas viviendas diseñados para disfrutar viviendo con todos los servicios con energía eficiente con mucha luz pisos espaciosos y muy tranquilos sin salir de casa? Lo estamos haciendo para ti y dotados de piscina y espacioso solárium. Todo lo que necesitas!  Estamos haciendo unas viviendas donde podrás vivir y respirar tranquilidad y donde compartir con la familia y amigos en su amplio salón y sus terrazas individuales. Pisos totalmente exteriores: los dormitorios el salón y la cocina dan a la terraza. Dotado para disfrutar de zona comunitaria y piscina.  El edificio eco eficiente y accesible cuenta con una cubierta comunitaria con piscina y vistas espectaculares una entrada desde la misma plaza Guinardó. para persona y coches 3 plantas bajas dúplex (dos con patio) 8 viviendas distribuidas en cuatro plantas de altura ...,1,0,0,null,1,104,75,El Guinardó,0,480000,8,440000,4231,PROVALIX GUINARDO .S.L.,Ref.: Bajos 2ª,2,1,0,Dúplex en venta en plaza Guinardó 10,http://idealista.com/inmueble/90710185/,2926,0.07819539194233494,15,6,0.19806889352818371,5
3,1996,Zona privilegiada próximo a los principales colegios de la zona alta. Finca joven. Ático con vistas despejadas terrazas. Perfecto estado de conservación. 230 m2 + 115 m2 de terrraza. 2 plazas de aparcamiento y zona comunitaria con piscina.,1,0,8,Gas natural,0,230,105,Sant Gervasi - Galvany,1,0,0,1980000,8609,MG Grupo Inmobiliario,Ref.: VA1578,3,2,1,Ático en venta en via augusta,http://idealista.com/inmueble/90123309/,3511,0.05003535106325119,15,7,0.367651057812585,5
3,1900,Espectacular piso de finales del siglo XIX de estilo modernista completamente reformado ubicado a pocos pasos de lugares emblemáticos de Barcelona como La Pedrera Paseo de Gracia o La Casa de les Punxes. Cuenta con una superficie de 351 m2 distribuidos desde un recibidor hacia un amplio comedor un salón con acceso a galería y terraza cocina independiente totalmente equipada (con horno nevera lavavajillas y microondas) un dormitorio doble con salida a patio uno en suite con baño gran vestidor y acceso a galería acristalada y balcón. Además dispone de una habitación para invitados con baño independiente. Existe la posibilidad de hacer una cuarta habitación. Cuenta con un total 3 baños completos (uno en suite) y zona de aguas independiente. Cabe destacar la espectacular zona exterior de la propiedad balcones una galería y una t...,1,0,1,null,0,351,75,Eixample,0,0,0,2300000,6553,Atipika Lifestyle Properties,Ref.: 13227,3,2,1,Piso en venta en La Dreta de l'Eixample,http://idealista.com/inmueble/87478973/,3665,0.13981191222570533,25,8,0.34054951134058636,5
2,1992,Precioso e impecable piso situado en Barcelona zona Vall d’HEbron muy buena ubicación para estar cercano a todos los servicios Centros cívicos colegios restaurantes supermercadosmetros parada de autobús Se trata de un piso perfecto para entrar a vivir exterior y con luz ideal para familias un piso conservado con todas las comodidades que destaca por sus amplios espacios y su còmoda distribución. Suelos de terrazo y gres preinstalación de aire acondicionado calefacción por radiadores gas carpintería interior de aluminio. Dispone de 3 habitaciones de las cuales dos dobles i una és individual grande un aseo y un baño completo con ducha salón comedor con salida a la terraza y cocina equipada con zona separada de lavadero El piso es un segundo sin ascensor pero tiene pocas escaleras muy amplias y cómodas. La vivienda tiene la posibilidad de alquilar parking en la misma calle (alquiler por 90 – 100 euros al mes. ) (Se puede valorar también alquilar con opción de compra para la plaza de parking. ).,0,166,2,Gas natural,0,81,75,Horta Guinardó,1,0,0,225000,2778,Fincas Cano Pujol,Ref.: v7270,3,2,1,Piso en venta en Urb. vall d'hebron La Teixonera,http://idealista.com/inmueble/91654206/,2908,0.2805323590814196,4,6,0.28864718754022395,5
2,1984,Propiedad a reformar en Font d'en Fargues Ubicada en la zona más residencial de Horta-Guinardó encontramos esta magnifica casa de 174m2 mas 50 de terraza en segunda planta. Se trata de dos entidades registrales diferentes unidas de manera física internamente para crear un fantástico espacio lleno de posibilidades.   En la planta baja encontramos una habitación doble un baño y la escalera que conduce a la zona de noche también un amplio comedor y una espaciosa cocina con salida a un pequeño patio y desde la cocina encontramos otro gran salón.  En la planta superior hallamos otro baño y cuatro grandes habitaciones exteriores dos con ventanas a la calle y orientadas al nor-este y dos con ventanas al patio orientado al sur todas con magnifica luz.  Desde este nivel a través de una pequeña escalera podemos acceder al terrado un espaci...,0,0,0,Gas natural,0,174,75,Horta Guinardó,0,390000,23,299000,1718,Barcelona MMC,Ref.: W-02G8L6,6,3,1,Chalet adosado en venta en La Font d'En Fargues,http://idealista.com/inmueble/89292464/,2926,0.07819539194233494,4,3,0.28864718754022395,5
3,1900,Hermosa vivienda reformada a estrenar en una de las mejores calles del Eixample Rambla Catalunya. Se ubica en la planta principal de una finca regia en excelente estado y con servicio de conserjería.   El piso reformado con todo lujo de detalles tiene una distribución con dos orientaciones a exterior.   La zona de noche en ala sureste de la vivienda dispone de tres dormitorios dos de ellos exteriores y orientados a la tranquila y poco transitada calle Rambla Catalunya. El tercer dormitorio se orienta al patio interior del edificio. Una de estas estancias es en suite con baño privado y las otras dos disponen de un baño compartido. &nbsp;   En la zona de día tenemos un recibidor amplio que conecta con un bonito patio interior y una cocina abierta con una isla central con acceso a una zona de aguas/ calderas/cuarto de plancha. Pasad...,1,0,0,null,0,196,75,Eixample,0,1750,3,1690000,8622,Lucas Fox Barcelona,Ref.: BCN23781,3,2,1,Piso en venta en La Dreta de l'Eixample,http://idealista.com/inmueble/90288795/,3665,0.13981191222570533,25,8,0.34054951134058636,5
2,1974,Fantástico piso de 92m² en venta ubicado en la calle Viladomat. Distribuido en salón comedor con salida a un balcón de 5m² cocina 4 habitaciones (3 dobles) 2 baños y zona de aguas. Dispone de aire acondicionado calefacción individual de gas y carpintería exterior de aluminio. Exterior y luminoso. Ubicado en una finca con servicio de conserjería. Existe la posibilidad de comprar una plaza de parking en el mismo edificio o en sus alrededores. Ubicado en l´Esquerra de l´Eixample una zona comercial con todo tipo de servicios y muy bien comunicada por transporte público.,1,135,3,Gas natural,0,92,75,La Nova Esquerra de l'Eixample,0,0,0,460000,5000,ALTING Grupo Inmobiliario,Ref.: 019275,4,3,0,Piso en venta en calle de Viladomat,http://idealista.com/inmueble/90474876/,3613,0.10729504005454238,15,7,0.17919127669241253,5
2,1970,Amplio piso a reformar en el Parc i la Llacuna Entrando en la vivienda gozamos de un gran recibidor y un amplio trastero ideal para guardar todo tipo de material deportivo de playa limpieza ropa etc. Desde el pasillo se accede a la espaciosa cocina y lavadero. También desde el pasillo accedemos a la primera habitación. Saliendo de ésta se encuentran los dos baños. Uno de ellos actualmente tiene bañera y el otro ducha. Ambos baños tienen ventilación por galería pequeña. Al final del pasillo está el amplio y luminoso salón que destaca por su amplitud y gran entrada de luz natural. Desde el salón y desde la habitación principal se divisan unas bonitas y amplias vistas a la zona verde del patio interior y de parte del recinto de la Ciutadella. Desde el salón accedemos a las otras dos habitaciones. Actualmente el piso tiene tres habitacio...,1,132,0,Gas natural,0,97,75,Sant Martí,0,360000,3,350000,3608,Barcelona MMC - Ciutat Vella - Sant Martí - S7,Ref.: W-02IPMY,4,3,0,Piso en venta en El Parc i la Llacuna del Poblenou,http://idealista.com/inmueble/89745971/,0,0.060413354531001606,25,9,0.1414061119943473,4
2,1930,ÁTICO CON TERRAZA: SOL AIRE Y LUZ TODO EL DÍA!  Espectacular ático recién reformado a estrenar en Sant Antoni con vistas del Montjuic con mucho sol y luz todo el día. El ático de 78 m² construidos más 24 m² de terraza ha sido recientemente reformado con un diseño elegante y acabados de primeras marcas. Se distribuye en un gran salón comedor con salida directa a la fabulosa terraza una cocina de concepto abierto 2 habitaciones (una suite principal con vestidor baño completo y salida a la terraza y otra individual) 2 baños y un lavadero. La terraza de 24 m² tiene vistas abiertas al verde del Montjuïc y recibe sol casi todo el día por su orientación Sur. Es el sitio ideal para disfrutar del sol del Mediterráneo y el skyline barcelonés. La renovación ha sido diseñada teniendo en cuenta las necesidades actuales de espacio y confort pl...,1,0,7,null,0,90,75,Sant Antoni,0,0,0,590000,6556,Departamento Comercial,Ref.: 55630,2,2,1,Ático en venta en calle d'Entença,http://idealista.com/inmueble/89653009/,3318,0.13022672895066656,15,7,0.3651589381337587,5
